1	George		Washington	"July 1, 1789"	"March 4, 1797"	2	Did not seek re-election	Independent	George Washington had teeth made of ivory and animal teeth, not wood	pictures/1Washington.jpg
2	John		Adams	"March 4, 1797"	"March 4, 1801"	1	Lost reelection	Federalist	He often skipped school to hunt	pictures/2Adams.jpg
3	Thomas		Jefferson	"March 4, 1801"	"March 4, 1809"	2	Did not seek reelection	Democratic-Republican	He was an amateur archeologist who owned Mastodon bones	pictures/3Jefferson.jpg
4	James		Madison	"March 4, 1809"	"March 4, 1817"	2	Did not seek reelection	Democratic-Republican	He was the shortest president at 64 inches	pictures/4Madison.jpg
5	James		Monroe	"March 4, 1817"	"March 4, 1825"	2	Did not seek reelection	Democratic-Republican	Liberian capital of Monrovia named after him	pictures/5Monroe.jpg
6	John	Quincy	Adams	"March 4, 1825"	"March 4, 1829"	1	Lost reelection	Democratic-Republican	Frequently skinny dipped in Potomac River	pictures/6QAdams.jpg
7	Andrew		Jackson	"March 4, 1829"	"March 4, 1837"	2	Did not seek reelection	Democrat	Owned a parrot that he taught to swear	pictures/7Jackson.jpg
8	Martin		Van Buren	"March 4, 1837"	"March 4, 1841"	1	Lost reelection	Democrat	Popularized use of phrase OK to mean all right	pictures/8VanBuren.jpg
9	William	Henry	Harrison	"March 4, 1841"	"April 4, 1841"	1	Died in office	Whig	Had longest inaugural address but shortest presidency	pictures/9Harrison.jpg
10	John		Tyler	"April 4, 1841"	"March 4, 1845"	0	Did not seek reelection	Whig	Only president to publicly side with Confederacy	pictures/10Tyler.jpg
11	James	Knox	Polk	"March 4, 1845"	"March 4, 1849"	1	Did not seek reelection	Democrat	Died of Cholera 3 months after leaving office	pictures/11Polk.jpg
12	Zachary		Taylor	"March 4, 1849"	"July 9, 1850"	1	Died in office	Whig	Had no formal education, wrote poorly	pictures/12Taylor.jpg
13	Millard		Fillmore	"July 9, 1850"	"March 4, 1853"	0	Did not seek reelection	Whig	Personally fought a fire at the Library of Congress	pictures/13Fillmore.jpg
14	Franklin		Pierce	"March 4, 1853"	"March 4, 1857"	1	Did not seek reelection	Democrat	Was a terrible alcoholic	pictures/14Pierce.jpg
15	James		Buchanan	"March 4, 1857"	"March 4, 1861"	1	Did not seek reelection	Democrat	Had no wife or children	pictures/15Buchanan.jpg
16	Abraham		Lincoln	"March 4, 1861"	"April 15, 1865"	1	Assassinated	Republican	Created Secret Service hours before death	pictures/16Lincoln.jpg
17	Andrew		Johnson	"April 15, 1865"	"March 4, 1869"	0	Did not seek reelection	Democrat	Escaped indentured servitude	pictures/17AJohnson.jpg
18	Ulysses	Simpson	Grant	"March 4, 1869"	"March 4, 1877"	2	Did not seek reelection	Republican	Had no political experience before becoming President	pictures/18Grant.jpg
19	Rutherford	Birchard	Hayes	"March 4, 1877"	"March 4, 1881"	1	Did not seek reelection	Republican	Eliminated serving of alcohol in White House	pictures/19Hayes.jpg
20	James	Abram	Garfield	"March 4, 1881"	"September 19, 1881"	1	Assassinated	Republican	Often practiced juggling for exercise	pictures/20Garfield.jpg
21	Chester	Alan	Arthur	"September 19, 1881"	"March 4, 1885"	0	Did not seek reelection	Republican	Former school principal	pictures/21Arthur.jpg
